task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
4	84/f92dd3	35970	pipeline:getParams	COMPLETED	0	2024-12-13 16:43:22.992	2.2s	42ms	49.0%	1 MB	3.8 MB	60 KB	1.8 KB
3	82/af197c	35964	pipeline:variantCallingPipeline:sanitizeRefFile	COMPLETED	0	2024-12-13 16:43:22.981	2.5s	53ms	30.8%	2.7 MB	3.8 MB	132 KB	26.6 KB
2	57/2526b6	35963	fastcat (1)	COMPLETED	0	2024-12-13 16:43:22.971	5s	2.7s	275.2%	92.4 MB	544.9 MB	111.3 MB	109.6 MB
5	03/7c761c	36074	pipeline:subsetReads (1)	COMPLETED	0	2024-12-13 16:43:28.033	6.1s	5.3s	94.3%	63.6 MB	1 GB	184 MB	67.6 MB
1	3c/9495a3	35976	pipeline:getVersions	COMPLETED	0	2024-12-13 16:43:23.002	18.7s	16.8s	111.4%	416.6 MB	1.4 GB	67.5 MB	28.5 MB
7	bd/ed6b35	36160	pipeline:addMedakaToVersionsFile	COMPLETED	0	2024-12-13 16:43:41.743	1.3s	460ms	202.3%	2.7 MB	3.8 MB	8.3 MB	514 B
6	77/f1363e	36117	pipeline:porechop (1)	COMPLETED	0	2024-12-13 16:43:34.140	1m 28s	1m 27s	197.8%	307.2 MB	755.4 MB	99.3 MB	98.4 MB
8	84/bbe4e5	36467	pipeline:variantCallingPipeline:alignReads (1)	COMPLETED	0	2024-12-13 16:45:02.486	3.2s	1s	225.7%	8.8 MB	311.6 MB	75.8 MB	57.8 MB
22	3b/908709	36527	pipeline:variantCallingPipeline:mosdepth (13)	COMPLETED	0	2024-12-13 16:45:05.938	3.6s	159ms	32.3%	2.8 MB	3.8 MB	1.2 MB	9.1 KB
15	56/94ac03	36507	pipeline:variantCallingPipeline:mosdepth (6)	COMPLETED	0	2024-12-13 16:45:05.877	3.8s	149ms	27.1%	2.7 MB	3.8 MB	1.3 MB	9.6 KB
14	3b/9c6d1a	36502	pipeline:variantCallingPipeline:mosdepth (5)	COMPLETED	0	2024-12-13 16:45:05.800	3.9s	170ms	30.5%	2.7 MB	3.8 MB	1.4 MB	12.1 KB
16	0b/1eaed8	36513	pipeline:variantCallingPipeline:mosdepth (7)	COMPLETED	0	2024-12-13 16:45:05.887	3.9s	167ms	36.9%	2.7 MB	3.8 MB	1.6 MB	10.5 KB
9	29/f01de0	36504	pipeline:variantCallingPipeline:bamstats (1)	COMPLETED	0	2024-12-13 16:45:05.827	4.6s	1.6s	40.6%	163.8 MB	550.1 MB	17.3 MB	683.9 KB
17	f0/1dd091	36645	pipeline:variantCallingPipeline:mosdepth (8)	COMPLETED	0	2024-12-13 16:45:09.559	1.4s	93ms	51.9%	2.7 MB	3.8 MB	1.4 MB	11.3 KB
11	1c/558d63	36661	pipeline:variantCallingPipeline:mosdepth (2)	COMPLETED	0	2024-12-13 16:45:09.659	1.5s	153ms	33.3%	1 MB	3.8 MB	1.4 MB	9.8 KB
12	9f/0aa7b4	36687	pipeline:variantCallingPipeline:mosdepth (3)	COMPLETED	0	2024-12-13 16:45:09.768	1.7s	164ms	40.0%	2.7 MB	3.8 MB	1.7 MB	20.3 KB
13	e0/821465	36666	pipeline:variantCallingPipeline:mosdepth (4)	COMPLETED	0	2024-12-13 16:45:09.668	1.8s	157ms	40.7%	2.6 MB	3.8 MB	2 MB	11.9 KB
19	c7/2e3cc5	36744	pipeline:variantCallingPipeline:mosdepth (10)	COMPLETED	0	2024-12-13 16:45:10.403	1.8s	169ms	42.4%	2.8 MB	3.8 MB	1.6 MB	10.5 KB
18	9e/4d0c8b	36781	pipeline:variantCallingPipeline:mosdepth (9)	COMPLETED	0	2024-12-13 16:45:10.991	1.6s	223ms	28.7%	2.9 MB	3.8 MB	1.4 MB	9.7 KB
23	10/f64a73	36812	pipeline:variantCallingPipeline:mosdepth (14)	COMPLETED	0	2024-12-13 16:45:11.120	1.5s	156ms	45.9%	2.8 MB	3.8 MB	1.5 MB	9.9 KB
