isolate,Tb927.1.3230_T,Tb927.1.3230_C,Tb927.1.3230_A,Tb927.1.3230_G,Tb927.10.13980_T,Tb927.10.13980_C,Tb927.10.13980_A,Tb927.10.13980_G,Tb927.10.15300_T,Tb927.10.15300_C,Tb927.10.15300_A,Tb927.10.15300_G,Tb927.10.1820_T,Tb927.10.1820_C,Tb927.10.1820_A,Tb927.10.1820_G,Tb927.10.2810_T,Tb927.10.2810_C,Tb927.10.2810_A,Tb927.10.2810_G,Tb927.10.4720_T,Tb927.10.4720_C,Tb927.10.4720_A,Tb927.10.4720_G,Tb927.11.1940_T,Tb927.11.1940_C,Tb927.11.1940_A,Tb927.11.1940_G,Tb927.11.3980_T,Tb927.11.3980_C,Tb927.11.3980_A,Tb927.11.3980_G,Tb927.3.4350_T,Tb927.3.4350_C,Tb927.3.4350_A,Tb927.3.4350_G,Tb927.4.980_T,Tb927.4.980_C,Tb927.4.980_A,Tb927.4.980_G,Tb927.5.1220_T,Tb927.5.1220_C,Tb927.5.1220_A,Tb927.5.1220_G,Tb927.6.1100_T,Tb927.6.1100_C,Tb927.6.1100_A,Tb927.6.1100_G,Tb927.6.2630_T,Tb927.6.2630_C,Tb927.6.2630_A,Tb927.6.2630_G,Tb927.6.3660_T,Tb927.6.3660_C,Tb927.6.3660_A,Tb927.6.3660_G,Tb927.6.5000_T,Tb927.6.5000_C,Tb927.6.5000_A,Tb927.6.5000_G,Tb927.7.6560_T,Tb927.7.6560_C,Tb927.7.6560_A,Tb927.7.6560_G,Tb927.8.3480_T,Tb927.8.3480_C,Tb927.8.3480_A,Tb927.8.3480_G,Tb927.8.3810_T,Tb927.8.3810_C,Tb927.8.3810_A,Tb927.8.3810_G,Tb927.9.10660_T,Tb927.9.10660_C,Tb927.9.10660_A,Tb927.9.10660_G
108AT,0.22984,0.25455,0.21166,0.30396,0.26442,0.22917,0.23558,0.27083,0.22877,0.23599,0.25794,0.27730,0.27904,0.20581,0.23990,0.27525,0.21992,0.23570,0.25641,0.28797,0.23426,0.22500,0.24630,0.29444,0.23851,0.23348,0.27299,0.25503,0.23191,0.27261,0.24419,0.25129,0.23791,0.22971,0.24396,0.28843,0.25269,0.21864,0.19892,0.32975,0.25532,0.20567,0.28723,0.25177,0.22267,0.23489,0.25662,0.28581,0.25723,0.23440,0.22603,0.28234,0.20773,0.21377,0.28261,0.29589,0.23810,0.18963,0.27466,0.29762,0.21439,0.19090,0.29662,0.29809,0.24287,0.22259,0.24781,0.28673,0.20940,0.25385,0.24103,0.29573,0.26476,0.21333,0.24762,0.27429
108BT,0.22984,0.25455,0.21166,0.30396,0.26442,0.22917,0.23558,0.27083,0.22877,0.23599,0.25794,0.27730,0.27904,0.20581,0.23990,0.27525,0.21992,0.23570,0.25641,0.28797,0.23426,0.22500,0.24630,0.29444,0.23851,0.23348,0.27299,0.25503,0.23191,0.27261,0.24419,0.25129,0.23791,0.22971,0.24396,0.28843,0.25269,0.21864,0.19892,0.32975,0.25532,0.20567,0.28723,0.25177,0.22267,0.23489,0.25662,0.28581,0.25723,0.23440,0.22603,0.28234,0.20773,0.21377,0.28261,0.29589,0.23810,0.18963,0.27466,0.29762,0.21439,0.19090,0.29662,0.29809,0.24287,0.22259,0.24781,0.28673,0.20940,0.25385,0.24103,0.29573,0.26476,0.21333,0.24762,0.27429
15BT-relapse,0.22984,0.25455,0.21166,0.30396,0.26442,0.22917,0.23558,0.27083,0.22877,0.23599,0.25794,0.27730,0.27904,0.20581,0.23990,0.27525,0.21992,0.23570,0.25641,0.28797,0.23426,0.22500,0.24630,0.29444,0.23851,0.23348,0.27299,0.25503,0.23191,0.27261,0.24419,0.25129,0.23791,0.22971,0.24396,0.28843,0.25269,0.21864,0.19892,0.32975,0.25532,0.20567,0.28723,0.25177,0.22267,0.23489,0.25662,0.28581,0.25723,0.23440,0.22603,0.28234,0.20773,0.21377,0.28261,0.29589,0.23810,0.18963,0.27466,0.29762,0.21439,0.19090,0.29662,0.29809,0.24287,0.22259,0.24781,0.28673,0.20940,0.25385,0.24103,0.29573,0.26476,0.21333,0.24762,0.27429
280104,0.22987,0.25421,0.21208,0.30384,0.26442,0.22917,0.23558,0.27083,0.22839,0.23591,0.25846,0.27725,0.27904,0.20581,0.23864,0.27652,0.21992,0.23570,0.25641,0.28797,0.23426,0.22500,0.24537,0.29537,0.23779,0.23348,0.27443,0.25431,0.23262,0.27225,0.24301,0.25211,0.23773,0.22997,0.24462,0.28768,0.25269,0.21864,0.19892,0.32975,0.25887,0.20390,0.28901,0.24823,0.22222,0.23577,0.25542,0.28659,0.25816,0.23386,0.22627,0.28170,0.20652,0.21498,0.28261,0.29589,0.24003,0.18999,0.27226,0.29771,0.21439,0.19090,0.29662,0.29809,0.24217,0.22241,0.24822,0.28720,0.20940,0.25385,0.24103,0.29573,0.26286,0.21333,0.24952,0.27429
340AT,0.22984,0.25455,0.21166,0.30396,0.26442,0.22917,0.23558,0.27083,0.22877,0.23599,0.25794,0.27730,0.27904,0.20581,0.23990,0.27525,0.21992,0.23570,0.25641,0.28797,0.23426,0.22500,0.24630,0.29444,0.23851,0.23348,0.27299,0.25503,0.23191,0.27261,0.24419,0.25129,0.23791,0.22971,0.24396,0.28843,0.25269,0.21864,0.19892,0.32975,0.25532,0.20567,0.28723,0.25177,0.22267,0.23489,0.25662,0.28581,0.25723,0.23440,0.22603,0.28234,0.20773,0.21377,0.28261,0.29589,0.23810,0.18963,0.27466,0.29762,0.21439,0.19090,0.29662,0.29809,0.24287,0.22259,0.24781,0.28673,0.20940,0.25385,0.24103,0.29573,0.26476,0.21333,0.24762,0.27429
348BT,0.22984,0.25455,0.21166,0.30396,0.26442,0.22917,0.23558,0.27083,0.22877,0.23599,0.25794,0.27730,0.27904,0.20581,0.23990,0.27525,0.21992,0.23570,0.25641,0.28797,0.23426,0.22500,0.24630,0.29444,0.23851,0.23348,0.27299,0.25503,0.23191,0.27261,0.24419,0.25129,0.23791,0.22971,0.24396,0.28843,0.25269,0.21864,0.19892,0.32975,0.25532,0.20567,0.28723,0.25177,0.22267,0.23489,0.25662,0.28581,0.25723,0.23440,0.22603,0.28234,0.20773,0.21377,0.28261,0.29589,0.23810,0.18963,0.27466,0.29762,0.21439,0.19090,0.29662,0.29809,0.24287,0.22259,0.24781,0.28673,0.20940,0.25385,0.24103,0.29573,0.26476,0.21333,0.24762,0.27429
57AT,0.22984,0.25455,0.21166,0.30396,0.26442,0.22917,0.23558,0.27083,0.22877,0.23599,0.25794,0.27730,0.27904,0.20581,0.23990,0.27525,0.21992,0.23570,0.25641,0.28797,0.23426,0.22500,0.24630,0.29444,0.23851,0.23348,0.27299,0.25503,0.23191,0.27261,0.24419,0.25129,0.23791,0.22971,0.24396,0.28843,0.25269,0.21864,0.19892,0.32975,0.25532,0.20567,0.28723,0.25177,0.22267,0.23489,0.25662,0.28581,0.25723,0.23440,0.22603,0.28234,0.20773,0.21377,0.28261,0.29589,0.23810,0.18963,0.27466,0.29762,0.21439,0.19090,0.29662,0.29809,0.24287,0.22259,0.24781,0.28673,0.20940,0.25385,0.24103,0.29573,0.26476,0.21333,0.24762,0.27429
927,0.22887,0.25404,0.21225,0.30484,0.26000,0.22833,0.23333,0.27833,0.22977,0.23536,0.25949,0.27538,0.27883,0.20659,0.23828,0.27630,0.22256,0.23679,0.25508,0.28557,0.23390,0.22348,0.24716,0.29545,0.23644,0.23355,0.27549,0.25452,0.23333,0.27059,0.24706,0.24902,0.23772,0.23033,0.24337,0.28857,0.25592,0.21949,0.19581,0.32878,0.25627,0.20430,0.28853,0.25090,0.22292,0.23340,0.25716,0.28651,0.25481,0.23480,0.22787,0.28253,0.20771,0.21517,0.28109,0.29602,0.24416,0.18788,0.27273,0.29524,0.21667,0.19091,0.29242,0.30000,0.24490,0.22052,0.24490,0.28968,0.21149,0.25413,0.24021,0.29417,0.26667,0.21176,0.24510,0.27647
940,0.22876,0.25584,0.21195,0.30345,0.26409,0.22866,0.23510,0.27214,0.22790,0.23686,0.25794,0.27730,0.28137,0.20659,0.23701,0.27503,0.22387,0.23274,0.25247,0.29093,0.23502,0.22472,0.24625,0.29401,0.23707,0.23348,0.27443,0.25503,0.23166,0.27156,0.24646,0.25032,0.23773,0.22997,0.24376,0.28854,0.25157,0.21923,0.19946,0.32974,0.25709,0.20390,0.28901,0.25000,0.22087,0.23645,0.25813,0.28455,0.25723,0.23516,0.22831,0.27930,0.20894,0.21256,0.28261,0.29589,0.24027,0.18866,0.27580,0.29526,0.21386,0.18879,0.29351,0.30383,0.24202,0.22002,0.24587,0.29208,0.20940,0.25470,0.23932,0.29658,0.26245,0.21264,0.25096,0.27395
ABBA,0.22969,0.25444,0.21102,0.30486,0.26442,0.22917,0.23558,0.27083,0.22928,0.23478,0.25855,0.27739,0.27904,0.20581,0.23864,0.27652,0.21992,0.23570,0.25641,0.28797,0.23519,0.22500,0.24444,0.29537,0.23758,0.23254,0.27430,0.25558,0.23127,0.27261,0.24419,0.25194,0.23773,0.22997,0.24462,0.28768,0.25269,0.21864,0.19892,0.32975,0.25709,0.20390,0.28901,0.25000,0.22154,0.23654,0.25631,0.28562,0.25765,0.23471,0.22630,0.28135,0.20652,0.21498,0.28261,0.29589,0.24027,0.19036,0.27157,0.29780,0.21280,0.19048,0.29613,0.30060,0.24367,0.22222,0.24862,0.28548,0.20940,0.25385,0.24103,0.29573,0.26476,0.21333,0.24762,0.27429
